disappearance_year,source_office,source_brokerage_bucket,prior_year_sides,prior_year_volume,top_agents_tested,top_agents_at_compass_next_year,migration_rate,classification
2018,pacific union international,Others,618,1037109516.0,10,9,0.9,data-inferred likely acquisition; external confirmation required
2018,paragon real estate group inc,Others,20,33005988.0,2,2,1.0,data-inferred likely acquisition; external confirmation required
2018,barron real estate group,Others,33,27916000.0,4,4,1.0,data-inferred likely acquisition; external confirmation required
2019,patterson realty,Others,99,76283457.0,10,10,1.0,data-inferred likely acquisition; external confirmation required
2019,kw bay area living,Keller Williams,30,48376000.0,10,5,0.5,data-inferred likely acquisition; external confirmation required
2019,central coast realty group,Others,37,29986000.0,8,4,0.5,data-inferred likely acquisition; external confirmation required
2019,thrive real estate,Others,28,19168000.0,8,6,0.75,data-inferred likely acquisition; external confirmation required
2019,harcourts prestige properties,Others,12,14126910.0,2,1,0.5,data-inferred likely acquisition; external confirmation required
2019,pemberley realty inc,Others,14,8646700.0,4,2,0.5,data-inferred likely acquisition; external confirmation required
2019,onqu realty inc,Others,14,7762500.0,4,2,0.5,data-inferred likely acquisition; external confirmation required
2020,ciano real estate inc,Others,11,8736400.0,2,1,0.5,data-inferred likely acquisition; external confirmation required
2020,cobalt realty group,Others,10,6457399.0,4,3,0.75,data-inferred likely acquisition; external confirmation required
2022,re max elite properties,RE/MAX,14,14718500.0,6,3,0.5,data-inferred likely acquisition; external confirmation required
2024,frontgate real estate,Others,10,18935000.0,2,2,1.0,data-inferred likely acquisition; external confirmation required
